GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,CredentialsHelper,0,159,0,10,0,31,0,8,0,3
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,CredentialsImpl,0,30,0,0,0,11,0,4,0,4
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,Clock,0,5,0,0,0,1,0,1,0,1
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,HttpClientDefault,0,75,0,10,0,22,0,9,0,4
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,ExceptionFactoryExtended,0,28,0,2,0,8,0,3,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,Environment,0,6,0,0,0,2,0,2,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,ClockDefault,0,5,0,0,0,2,0,2,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,Retries,8,309,1,23,3,49,1,26,0,15
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,EnvironmentDefault,0,8,0,0,0,2,0,2,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal,ExceptionFactoryDefault,0,21,0,2,0,5,0,3,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.xml,XmlElement,0,1381,0,198,0,393,0,149,0,47
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.xml,XmlParseException,0,38,0,2,0,4,0,3,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal.auth,AwsSignatureVersion4,0,735,0,22,0,119,0,25,0,14
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Request,0,686,1,41,0,133,1,55,0,35
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,RequestHelper.Parameter,0,9,0,0,0,4,0,1,0,1
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Formats,0,5,0,0,0,2,0,1,0,1
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Response,0,177,0,18,0,38,0,30,0,21
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,HttpClient,0,2,0,0,0,1,0,1,0,1
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Client,0,163,0,0,0,41,0,23,0,23
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Multipart.Builder3,6,286,0,18,2,56,0,26,0,17
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,ResponseInputStream,0,80,0,4,0,20,0,11,0,9
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Multipart.Builder2,0,20,0,0,0,6,0,2,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Metadata,0,20,0,0,0,6,0,3,0,3
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,HttpMethod,0,64,0,0,0,2,0,1,0,1
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,RequestHelper,0,407,0,28,0,84,0,27,0,13
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Client.Builder4,0,298,0,16,0,50,0,27,0,19
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Client.Builder3,0,25,0,0,0,6,0,2,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Client.Builder2,0,55,0,0,0,12,0,5,0,5
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,BaseUrlFactory,0,30,0,0,0,2,0,3,0,3
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Request.NameValue,0,9,0,0,0,4,0,1,0,1
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Client.Builder,0,179,0,4,0,43,0,13,0,11
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,MultipartOutputStream,0,404,0,12,0,98,0,21,0,15
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,ServiceException,0,27,0,0,0,6,0,3,0,3
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Multipart,0,25,0,2,0,6,0,3,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Multipart.Builder,2,37,0,0,0,10,1,3,1,3
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,Credentials,0,27,0,0,0,6,0,4,0,4
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,MaxAttemptsExceededException,0,5,0,0,0,2,0,1,0,1
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client,ExceptionFactory,0,5,0,0,0,1,0,1,0,1
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal.util,Util,0,376,2,46,0,89,2,35,0,13
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal.util,Preconditions,0,28,0,6,0,10,0,7,0,4
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.internal.util,Util.new InputStream() {...},0,5,0,0,0,2,0,2,0,2
aws-lightweight-client-java,com.github.davidmoten.aws.lw.client.xml.builder,Xml,0,472,0,54,0,95,0,45,0,18
