GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
big-sorter,com.github.davidmoten.bigsorter,Sorter.State,52,59,1,1,0,5,4,3,3,3
big-sorter,com.github.davidmoten.bigsorter,Reader.new Iterator() {...},127,231,1,7,0,15,4,9,3,6
big-sorter,com.github.davidmoten.bigsorter,Serializer,0,77,0,4,0,19,0,12,0,10
big-sorter,com.github.davidmoten.bigsorter,LineDelimiter,76,101,1,1,0,7,4,4,3,4
big-sorter,com.github.davidmoten.bigsorter,Reader.new Reader() {...},69,113,1,3,0,7,4,6,3,5
big-sorter,com.github.davidmoten.bigsorter,NonClosingInputStream,106,173,1,1,0,14,4,12,3,12
big-sorter,com.github.davidmoten.bigsorter,Reader.new Reader() {...},103,208,1,7,0,11,4,8,3,5
big-sorter,com.github.davidmoten.bigsorter,JavaSerializer,100,157,0,2,0,13,3,7,3,6
big-sorter,com.github.davidmoten.bigsorter,FixedSizeRecordSerializer,82,91,1,1,0,8,4,5,3,5
big-sorter,com.github.davidmoten.bigsorter,Sorter.Builder,232,186,0,2,0,15,3,6,3,5
big-sorter,com.github.davidmoten.bigsorter,Reader,6,68,0,2,2,18,0,9,0,8
big-sorter,com.github.davidmoten.bigsorter,LinesSerializer.new Reader() {...},58,81,1,1,0,5,4,5,3,5
big-sorter,com.github.davidmoten.bigsorter,Sorter.Builder4,88,148,1,1,0,11,4,4,3,4
big-sorter,com.github.davidmoten.bigsorter,LinesSerializer.new Writer() {...},82,123,1,1,0,9,4,6,3,6
big-sorter,com.github.davidmoten.bigsorter,Sorter.Builder5,156,187,1,1,3,12,4,5,3,5
big-sorter,com.github.davidmoten.bigsorter,Sorter.Builder4Base,169,330,1,7,0,22,4,14,3,11
big-sorter,com.github.davidmoten.bigsorter,Sorter,0,598,0,42,0,132,0,38,0,17
big-sorter,com.github.davidmoten.bigsorter,Sorter.Builder2,284,535,0,6,0,35,3,20,3,17
big-sorter,com.github.davidmoten.bigsorter,LinesSerializer,82,107,0,2,0,8,3,6,3,5
big-sorter,com.github.davidmoten.bigsorter,Sorter.Builder3,178,350,0,2,0,21,3,16,3,15
big-sorter,com.github.davidmoten.bigsorter,JsonArraySerializer.new Reader() {...},75,116,1,3,0,7,4,6,3,5
big-sorter,com.github.davidmoten.bigsorter,Util,403,798,0,32,0,51,3,22,3,6
big-sorter,com.github.davidmoten.bigsorter,JsonArraySerializer.new Writer() {...},134,227,1,5,0,16,4,8,3,6
big-sorter,com.github.davidmoten.bigsorter,DataSerializer.new Writer() {...},70,105,1,1,0,8,4,6,3,6
big-sorter,com.github.davidmoten.bigsorter,CsvSerializer.new Writer() {...},127,225,1,7,0,14,4,9,3,6
big-sorter,com.github.davidmoten.bigsorter,DataSerializer.new Reader() {...},64,94,1,1,0,7,4,5,3,5
big-sorter,com.github.davidmoten.bigsorter,CsvSerializer.new Reader() {...},103,195,1,7,0,10,4,8,3,5
big-sorter,com.github.davidmoten.bigsorter,JavaSerializer.new Reader() {...},76,99,1,1,0,8,4,5,3,5
big-sorter,com.github.davidmoten.bigsorter,Sorter.Builder4Base.new Consumer() {...},58,72,1,1,0,4,4,4,3,4
big-sorter,com.github.davidmoten.bigsorter,JavaSerializer.new Writer() {...},70,89,1,1,0,7,4,6,3,6
big-sorter,com.github.davidmoten.bigsorter,CsvSerializer,70,79,0,2,0,6,3,6,3,5
big-sorter,com.github.davidmoten.bigsorter,JsonArraySerializer,105,172,0,4,0,12,3,7,3,5
big-sorter,com.github.davidmoten.bigsorter,DataSerializer,40,52,1,1,0,3,4,5,3,5
big-sorter,com.github.davidmoten.bigsorter,Reader.new Reader() {...},69,114,1,3,0,7,4,6,3,5
big-sorter,com.github.davidmoten.bigsorter,Reader.new Reader() {...},74,130,1,5,0,7,4,7,3,5
