GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
geo,com.github.davidmoten.geo.util,Preconditions,0,19,0,4,0,6,0,4,0,2
geo,com.github.davidmoten.geo,GeoHash.HashWidths,0,20,0,2,0,5,0,3,0,2
geo,com.github.davidmoten.geo,GeoHash.LongSet,0,67,0,6,0,13,0,5,0,2
geo,com.github.davidmoten.geo,LatLong,0,56,0,0,0,14,0,5,0,5
geo,com.github.davidmoten.geo,GeoHash,0,1288,0,126,0,237,0,100,0,37
geo,com.github.davidmoten.geo,Direction,0,61,0,6,0,9,0,5,0,2
geo,com.github.davidmoten.geo,Coverage,0,82,0,4,0,16,0,8,0,6
geo,com.github.davidmoten.geo,GeoHash.HashHeights,0,20,0,2,0,5,0,3,0,2
geo,com.github.davidmoten.geo,Parity,0,24,0,0,0,2,0,1,0,1
geo,com.github.davidmoten.geo,Base32,0,340,0,22,0,43,0,17,0,6
geo,com.github.davidmoten.geo,CoverageLongs,0,63,0,2,0,14,0,7,0,6
