GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
guava-mini,com.github.davidmoten.guavamini,Lists,0,79,0,8,0,19,0,10,0,6
guava-mini,com.github.davidmoten.guavamini,Optional,0,67,0,8,0,19,0,13,0,9
guava-mini,com.github.davidmoten.guavamini,Collections2,0,3,0,0,0,1,0,1,0,1
guava-mini,com.github.davidmoten.guavamini,Objects,0,16,0,6,0,2,0,5,0,2
guava-mini,com.github.davidmoten.guavamini,Maps.MapBuilder,0,21,0,0,0,7,0,4,0,4
guava-mini,com.github.davidmoten.guavamini,Iterators,0,21,0,2,0,6,0,2,0,1
guava-mini,com.github.davidmoten.guavamini,Preconditions,0,48,0,8,0,14,0,10,0,6
guava-mini,com.github.davidmoten.guavamini,Optional.NotPresentException,0,3,0,0,0,1,0,1,0,1
guava-mini,com.github.davidmoten.guavamini,Sets,0,84,0,8,0,20,0,11,0,7
guava-mini,com.github.davidmoten.guavamini,Maps,0,54,0,0,0,13,0,10,0,10
guava-mini,com.github.davidmoten.guavamini,Maps.Builder,0,35,0,2,0,8,0,4,0,3
