GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kool,org.davidmoten.kool,Plugins,6,0,0,0,3,0,2,0,2,0
kool,org.davidmoten.kool,Functions,0,2,0,0,0,1,0,1,0,1
kool,org.davidmoten.kool,Stream.new Consumer() {...},3,7,0,0,2,4,0,2,0,2
kool,org.davidmoten.kool,Tester,94,71,9,5,11,23,8,7,1,7
kool,org.davidmoten.kool,Single,32,32,0,0,6,6,7,6,7,6
kool,org.davidmoten.kool,Stream.new StreamIterable() {...},5,6,0,0,1,1,1,1,1,1
kool,org.davidmoten.kool,Stream.new StreamIterable() {...},5,6,0,0,1,1,1,1,1,1
kool,org.davidmoten.kool,StreamIterable,0,6,0,0,0,1,0,1,0,1
kool,org.davidmoten.kool,StreamIterator,0,5,0,0,0,1,0,1,0,1
kool,org.davidmoten.kool,SingleTester,16,20,1,1,1,7,1,3,0,3
kool,org.davidmoten.kool,Maybe,42,67,2,0,9,13,8,13,7,13
kool,org.davidmoten.kool,Predicates.AlwaysTrueHolder,2,3,0,0,0,1,1,1,1,1
kool,org.davidmoten.kool,Indexed,10,98,0,10,1,26,1,12,1,7
kool,org.davidmoten.kool,Predicates,11,4,2,0,1,2,3,2,2,2
kool,org.davidmoten.kool,Stream,115,960,1,17,15,160,12,145,11,137
kool,org.davidmoten.kool,MaybeTester,46,23,3,3,3,8,3,3,0,3
kool,org.davidmoten.kool,Functions.IdentityHolder,0,5,0,0,0,1,0,2,0,2
kool,org.davidmoten.kool,Predicates.AlwaysFalseHolder,2,3,0,0,0,1,1,1,1,1
kool,org.davidmoten.kool.internal.operators.single,SingleToStream,0,11,0,0,0,4,0,2,0,2
kool,org.davidmoten.kool.internal.operators.single,SingleToStream.new StreamIterator() {...},4,45,1,7,1,13,1,8,0,5
kool,org.davidmoten.kool.internal.operators.single,SingleDoOnValue,19,0,0,0,7,0,2,0,2,0
kool,org.davidmoten.kool.internal.operators.single,SingleFlatMap.new StreamIterator() {...},5,50,1,3,1,13,1,6,0,5
kool,org.davidmoten.kool.internal.operators.single,SingleOf,0,10,0,0,0,4,0,2,0,2
kool,org.davidmoten.kool.internal.operators.single,SingleFromCallable,16,0,0,0,6,0,2,0,2,0
kool,org.davidmoten.kool.internal.operators.single,SingleError,10,0,0,0,4,0,2,0,2,0
kool,org.davidmoten.kool.internal.operators.single,Map,0,23,0,0,0,7,0,2,0,2
kool,org.davidmoten.kool.internal.operators.single,SingleFlatMap,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.single,SingleDoOnError,20,0,0,0,8,0,2,0,2,0
kool,org.davidmoten.kool.internal.operators.single,SingleIterator,5,43,1,5,1,16,1,7,0,5
kool,org.davidmoten.kool.internal.operators.maybe,MaybeIterator,5,54,2,8,1,16,2,8,0,5
kool,org.davidmoten.kool.internal.operators.maybe,MaybeDoOnError,20,0,0,0,8,0,2,0,2,0
kool,org.davidmoten.kool.internal.operators.maybe,MaybeError,5,6,0,0,1,3,1,1,1,1
kool,org.davidmoten.kool.internal.operators.maybe,MaybeFromCallable,37,0,4,0,14,0,4,0,2,0
kool,org.davidmoten.kool.internal.operators.maybe,MaybeToStream,0,11,0,0,0,4,0,2,0,2
kool,org.davidmoten.kool.internal.operators.maybe,MaybeOrElse,0,16,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.maybe,MaybeFlatMap.new StreamIterator() {...},4,75,4,10,1,17,4,8,0,5
kool,org.davidmoten.kool.internal.operators.maybe,MaybeMap,0,25,0,2,0,8,0,3,0,2
kool,org.davidmoten.kool.internal.operators.maybe,MaybeDoOnEmpty,0,21,0,2,0,8,0,3,0,2
kool,org.davidmoten.kool.internal.operators.maybe,MaybeDoOnValue,0,23,0,2,0,8,0,3,0,2
kool,org.davidmoten.kool.internal.operators.maybe,MaybeFlatMap,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.maybe,MaybeDefer,17,0,0,0,6,0,2,0,2,0
kool,org.davidmoten.kool.internal.operators.maybe,MaybeIsPresent,12,0,0,0,4,0,2,0,2,0
kool,org.davidmoten.kool.internal.operators.maybe,MaybeToStream.new StreamIterator() {...},14,52,2,8,4,16,2,8,0,5
kool,org.davidmoten.kool.internal.util,EmptyStream,4,13,0,0,1,5,1,5,1,5
kool,org.davidmoten.kool.internal.util,Iterables.2.new Iterator() {...},4,42,1,3,1,7,1,4,0,3
kool,org.davidmoten.kool.internal.util,Iterables.new Iterable() {...},0,11,0,0,0,2,0,2,0,2
kool,org.davidmoten.kool.internal.util,Iterables.new Iterable() {...},0,11,0,0,0,2,0,2,0,2
kool,org.davidmoten.kool.internal.util,StreamUtils,11,0,0,0,2,0,2,0,2,0
kool,org.davidmoten.kool.internal.util,EvictingQueue,0,41,0,4,0,10,0,6,0,4
kool,org.davidmoten.kool.internal.util,StreamImpl.new StreamIterator() {...},0,21,0,0,0,5,0,4,0,4
kool,org.davidmoten.kool.internal.util,StreamImpl,0,11,0,0,0,4,0,2,0,2
kool,org.davidmoten.kool.internal.util,StreamUtils.EmptyHolder,3,4,0,0,1,1,1,1,1,1
kool,org.davidmoten.kool.internal.util,Iterables,0,35,0,4,0,10,0,6,0,4
kool,org.davidmoten.kool.internal.util,Exceptions,19,14,1,3,7,4,3,2,2,1
kool,org.davidmoten.kool.internal.util,Iterables.1.new Iterator() {...},4,42,1,3,1,6,1,4,0,3
kool,org.davidmoten.kool.internal.util,MaybeImpl.EmptyHolder,3,6,0,0,1,1,1,1,1,1
kool,org.davidmoten.kool.internal.util,MaybeImpl,0,9,0,0,0,4,0,2,0,2
kool,org.davidmoten.kool.exceptions,UncheckedException,0,4,0,0,0,2,0,1,0,1
kool,org.davidmoten.kool.exceptions,CompositeException.WrappedPrintWriter,11,0,0,0,5,0,2,0,2,0
kool,org.davidmoten.kool.exceptions,CompositeException.PrintStreamOrWriter,3,0,0,0,1,0,1,0,1,0
kool,org.davidmoten.kool.exceptions,CompositeException,317,58,40,6,75,14,34,2,12,1
kool,org.davidmoten.kool.exceptions,CompositeException.CompositeExceptionCausalChain,5,0,0,0,2,0,2,0,2,0
kool,org.davidmoten.kool.exceptions,CompositeException.WrappedPrintStream,11,0,0,0,5,0,2,0,2,0
kool,org.davidmoten.kool.internal.operators.stream,SwitchOnEmpty.new StreamIterator() {...},0,59,1,5,0,16,1,7,0,5
kool,org.davidmoten.kool.internal.operators.stream,Take,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Concat.new StreamIterator() {...},0,88,1,15,0,24,1,12,0,5
kool,org.davidmoten.kool.internal.operators.stream,Zip.new StreamIterator() {...},11,54,3,5,3,11,3,5,0,4
kool,org.davidmoten.kool.internal.operators.stream,Split,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,DoOnEmpty.new StreamIterator() {...},0,52,1,5,0,15,1,7,0,5
kool,org.davidmoten.kool.internal.operators.stream,Cache.new StreamIterator() {...},2,55,1,5,1,15,1,6,0,4
kool,org.davidmoten.kool.internal.operators.stream,Repeat.new StreamIterator() {...},6,68,3,7,2,16,3,6,0,4
kool,org.davidmoten.kool.internal.operators.stream,Split.new StreamIterator() {...},4,175,1,17,1,34,1,13,0,5
kool,org.davidmoten.kool.internal.operators.stream,ToMaybe,0,38,0,4,0,11,0,4,0,2
kool,org.davidmoten.kool.internal.operators.stream,TakeLast.new StreamIterator() {...},9,57,1,5,3,14,1,7,0,5
kool,org.davidmoten.kool.internal.operators.stream,FromArrayInt.new StreamIterator() {...},0,35,0,2,0,5,0,5,0,4
kool,org.davidmoten.kool.internal.operators.stream,Skip,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,ReduceNoInitialValue.new StreamIterator() {...},22,85,7,7,9,20,8,4,2,3
kool,org.davidmoten.kool.internal.operators.stream,Count,0,28,0,2,0,10,0,3,0,2
kool,org.davidmoten.kool.internal.operators.stream,Last,0,11,0,0,0,4,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,FromArrayFloat,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,MergeInterleaved.new StreamIterator() {...},11,159,5,17,5,43,5,12,0,6
kool,org.davidmoten.kool.internal.operators.stream,DistinctUntilChanged.new StreamIterator() {...},4,87,3,11,1,25,3,9,0,5
kool,org.davidmoten.kool.internal.operators.stream,TakeLast,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,RangeLong,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Any,0,40,0,4,0,12,0,4,0,2
kool,org.davidmoten.kool.internal.operators.stream,Skip.new StreamIterator() {...},0,56,0,4,0,13,0,7,0,5
kool,org.davidmoten.kool.internal.operators.stream,DoOnComplete.new StreamIterator() {...},0,47,1,3,0,12,1,5,0,4
kool,org.davidmoten.kool.internal.operators.stream,DoOnError,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,FromBufferedReader,5,11,0,0,2,4,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,DoOnDispose,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,IsEmpty,0,24,0,2,0,7,0,3,0,2
kool,org.davidmoten.kool.internal.operators.stream,Last.new StreamIterator() {...},14,55,5,7,5,13,5,6,1,4
kool,org.davidmoten.kool.internal.operators.stream,TakeWithPredicate,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,FlatMap.new StreamIterator() {...},4,94,2,14,1,26,2,11,0,5
kool,org.davidmoten.kool.internal.operators.stream,TakeWithPredicate.new StreamIterator() {...},16,88,4,14,5,24,4,10,0,5
kool,org.davidmoten.kool.internal.operators.stream,SwitchOnError,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,FromArrayFloat.new StreamIterator() {...},0,35,0,2,0,5,0,5,0,4
kool,org.davidmoten.kool.internal.operators.stream,Using.new StreamIterator() {...},0,43,0,0,0,9,0,4,0,4
kool,org.davidmoten.kool.internal.operators.stream,ToSingle,9,26,2,2,2,9,2,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,RepeatElement.new StreamIterator() {...},4,38,1,3,1,7,1,5,0,4
kool,org.davidmoten.kool.internal.operators.stream,Range.new StreamIterator() {...},4,45,1,3,1,6,1,5,0,4
kool,org.davidmoten.kool.internal.operators.stream,PrependOne,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Range,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,FlatMap,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Sorted,0,19,0,0,0,6,0,3,0,3
kool,org.davidmoten.kool.internal.operators.stream,Buffer.new StreamIterator() {...},4,83,1,7,1,16,1,8,0,5
kool,org.davidmoten.kool.internal.operators.stream,FromInputStream.new StreamIterator() {...},23,70,3,9,6,19,3,8,0,5
kool,org.davidmoten.kool.internal.operators.stream,RangeLong.new StreamIterator() {...},4,47,1,3,1,6,1,5,0,4
kool,org.davidmoten.kool.internal.operators.stream,First.new StreamIterator() {...},6,63,4,10,2,15,4,8,0,5
kool,org.davidmoten.kool.internal.operators.stream,Collect,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,ReduceNoInitialValue,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,First,0,11,0,0,0,4,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,FromArrayDouble.new StreamIterator() {...},0,35,0,2,0,5,0,5,0,4
kool,org.davidmoten.kool.internal.operators.stream,DoOnEmpty,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,DoOnDispose.new StreamIterator() {...},0,43,0,4,0,10,0,6,0,4
kool,org.davidmoten.kool.internal.operators.stream,DoOnNext.new StreamIterator() {...},0,34,0,0,0,8,0,4,0,4
kool,org.davidmoten.kool.internal.operators.stream,Concat,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Filter.new StreamIterator() {...},4,69,1,9,1,22,1,9,0,5
kool,org.davidmoten.kool.internal.operators.stream,FromInputStream,6,22,1,1,2,7,1,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Zip,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,SkipUntil,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,SwitchOnEmpty,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,MergeInterleaved,0,37,0,2,0,8,0,4,0,3
kool,org.davidmoten.kool.internal.operators.stream,Sorted.new StreamIterator() {...},4,82,3,9,1,19,3,8,0,5
kool,org.davidmoten.kool.internal.operators.stream,DoOnComplete,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Map,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,DistinctUntilChanged,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Filter,0,14,0,0,0,5,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Collect.new StreamIterator() {...},7,72,2,10,2,19,2,9,0,5
kool,org.davidmoten.kool.internal.operators.stream,Distinct.new StreamIterator() {...},4,90,3,11,1,26,3,9,0,5
kool,org.davidmoten.kool.internal.operators.stream,Distinct,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,SwitchOnError.new StreamIterator() {...},51,53,2,2,12,13,2,5,0,5
kool,org.davidmoten.kool.internal.operators.stream,ReduceWithInitialValueSupplier,0,46,1,3,0,13,1,3,0,2
kool,org.davidmoten.kool.internal.operators.stream,FromArray,2,32,3,3,0,8,3,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,FromArrayDouble,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,Max,0,57,0,8,0,17,0,6,0,2
kool,org.davidmoten.kool.internal.operators.stream,Buffer,0,17,0,0,0,6,0,2,0,2
kool,org.davidmoten.kool.internal.operators.stream,BufferWithPredicate,0,20,0,0,0,7,0,2,0,2
