GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ClientServerGenerator.StatusCodeApiResponse,0,9,0,0,0,4,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.EnumMember,0,12,0,0,0,5,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ProjectGeneratorMain,112,0,12,0,28,0,9,0,3,0
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.ClassType,0,63,0,0,0,12,0,3,0,3
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Definition,9,81,0,0,2,28,2,13,2,13
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ClientServerGenerator.Param,63,42,0,0,2,15,1,1,1,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ProjectGenerator,22,232,4,14,6,54,5,11,1,6
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.MyVisitor.Result,0,9,0,0,0,4,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,SchemaCategory,0,76,0,0,0,14,0,4,0,4
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,DownloadExtras,168,0,6,0,33,0,10,0,7,0
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ParamType,0,45,0,0,0,2,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ClientServerGenerator,177,916,18,86,27,203,20,61,3,26
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Apis,145,798,27,93,22,155,31,67,6,32
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ExtensionKeys,3,0,0,0,1,0,1,0,1,0
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.Field,133,632,12,70,25,93,13,44,1,15
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ClientServerGenerator.Method,55,70,0,2,3,21,2,5,2,4
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ClientServerGenerator.Constraints,13,70,6,12,2,14,7,5,1,2
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Packages,0,9,0,0,0,4,0,2,0,2
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.MyVisitor,13,599,4,62,2,107,4,34,0,5
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Names.Server,0,9,0,0,0,4,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Visitor,0,1,0,0,0,1,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,SchemaWithName,30,9,2,0,4,4,2,1,1,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ServerGeneratorType,37,15,7,0,8,2,6,1,1,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ClientServerGenerator.ResponseDescriptor,0,21,0,0,0,8,0,4,0,4
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator,38,753,17,103,4,142,15,72,0,27
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.Encoding,0,15,0,0,0,2,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.MapType,0,15,0,0,0,2,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.Cls,34,300,3,35,5,54,4,32,1,16
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,ClassType,21,0,0,0,2,0,1,0,1,0
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Names,189,1336,37,107,36,210,38,110,10,66
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator,Generator.Discriminator,0,25,0,2,0,9,0,3,0,2
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,WriterUtil,43,173,2,2,13,34,4,8,2,8
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,Util,96,352,28,83,25,75,24,57,4,19
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,EnhancedOpenAPIV3Parser,60,111,5,7,13,23,5,7,0,6
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,Imports.new Function() {...},0,38,0,6,0,5,0,5,0,2
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,CodePrintWriter,6,192,0,6,2,43,0,22,0,19
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,Javadoc,173,201,21,17,37,45,19,9,4,5
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,Mutable,0,11,0,0,0,4,0,2,0,2
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,Imports,3,359,6,48,0,69,6,42,0,21
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,Indent,0,57,0,2,0,13,0,7,0,6
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,LinkedStack.LinkedStackNode,0,6,0,0,0,3,0,1,0,1
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,LinkedStack,2,49,1,7,1,14,1,8,0,5
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.internal,Annotation,11,0,0,0,5,0,5,0,5,0
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.writer,BuilderWriter.Field,53,44,0,6,17,11,2,6,2,3
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.writer,SchemasCodeWriter,86,4565,26,338,11,703,26,261,0,105
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.writer,ClientCodeWriter,3,895,2,34,1,148,3,26,1,10
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.writer,BuilderWriter,190,1826,20,136,21,256,16,86,2,22
openapi-codegen-generator,org.davidmoten.oa3.codegen.generator.writer,ServerCodeWriterSpringBoot,202,1362,7,55,13,213,12,55,5,31
