GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-codegen-http,org.davidmoten.oa3.codegen.http.service.internal,NoCopyByteArrayOutputStream,0,7,0,0,0,3,0,2,0,2
openapi-codegen-http,org.davidmoten.oa3.codegen.http.service.internal,ApacheHttpClientResponse,21,0,0,0,8,0,4,0,4,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http.service.internal,DefaultHttpConnection,12,106,1,3,3,28,2,7,1,6
openapi-codegen-http,org.davidmoten.oa3.codegen.http.service.internal,ApacheHttpClientHttpConnection,175,0,6,0,35,0,14,0,11,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http.service.internal,DefaultResponse,0,32,0,2,0,9,0,5,0,4
openapi-codegen-http,org.davidmoten.oa3.codegen.http,BearerAuthenticator,28,0,0,0,3,0,1,0,1,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http.BuilderWithReponseDescriptor,0,25,0,0,0,8,0,3,0,3
openapi-codegen-http,org.davidmoten.oa3.codegen.http,BasicAuthenticator,44,0,0,0,5,0,1,0,1,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http,279,462,18,26,58,78,26,33,11,26
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http.BuilderWithBody,8,25,0,0,2,7,2,3,2,3
openapi-codegen-http,org.davidmoten.oa3.codegen.http,MediaType,25,60,4,2,4,8,6,6,3,6
openapi-codegen-http,org.davidmoten.oa3.codegen.http,ParameterType,0,39,0,0,0,2,0,1,0,1
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Multipart.Builder,32,108,1,3,4,23,2,5,1,4
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http.BuilderWithBasePath,0,17,0,0,0,5,0,2,0,2
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http.RequestBuilder,68,0,0,0,19,0,10,0,10,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http.BuilderWithStatusCodeMatch,0,26,0,0,0,5,0,2,0,2
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Serializer,12,0,0,0,3,0,1,0,1,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http,ParameterValue,31,73,0,0,5,17,5,11,5,11
openapi-codegen-http,org.davidmoten.oa3.codegen.http,RequestBase,0,27,0,0,0,8,0,4,0,4
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Multipart.BytesOutputStream,0,10,0,0,0,4,0,2,0,2
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http.Builder,211,123,8,2,47,26,26,9,21,9
openapi-codegen-http,org.davidmoten.oa3.codegen.http,HttpMethod,0,51,0,0,0,2,0,1,0,1
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http.new InputStream() {...},32,0,2,0,6,0,3,0,2,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http,NotPrimaryResponseException,21,0,0,0,4,0,2,0,2,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Http.BuilderWithPath,0,14,0,0,0,5,0,2,0,2
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Headers,45,174,2,10,6,33,7,17,5,13
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Multipart.FormEntry,0,15,0,0,0,6,0,1,0,1
openapi-codegen-http,org.davidmoten.oa3.codegen.http,ResponseDescriptor,48,90,9,11,10,17,9,12,3,8
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Multipart,29,9,2,0,5,2,3,2,2,2
openapi-codegen-http,org.davidmoten.oa3.codegen.http,DefaultSerializer,128,30,19,3,25,10,14,3,3,3
openapi-codegen-http,org.davidmoten.oa3.codegen.http,Headers.KeyAndList,0,16,0,0,0,6,0,2,0,2
openapi-codegen-http,org.davidmoten.oa3.codegen.http,HttpResponse,84,18,4,0,20,7,7,3,5,3
openapi-codegen-http,org.davidmoten.oa3.codegen.http.service,StandardOption,0,9,0,0,0,2,0,1,0,1
openapi-codegen-http,org.davidmoten.oa3.codegen.http.service,ApacheHttpClientHttpService,29,0,0,0,6,0,3,0,3,0
openapi-codegen-http,org.davidmoten.oa3.codegen.http.service,DefaultHttpService,12,54,4,4,3,10,4,4,0,4
