GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-codegen-maven-example-pet-store,pet.store.path,FindPets200Response,52,23,7,1,12,7,8,3,4,3
openapi-codegen-maven-example-pet-store,pet.store.path,FindPetsTagsParameterTags,75,0,8,0,19,0,11,0,7,0
openapi-codegen-maven-example-pet-store,pet.store.service,JacksonConfiguration,1,13,1,1,0,4,1,2,0,2
openapi-codegen-maven-example-pet-store,pet.store.service,Service.new Service() {...},0,3,0,0,0,1,0,1,0,1
openapi-codegen-maven-example-pet-store,pet.store.service,ServiceController,48,29,1,1,12,6,4,2,3,2
openapi-codegen-maven-example-pet-store,pet.store.service,Service,12,5,0,0,4,1,4,1,4,1
openapi-codegen-maven-example-pet-store,pet.store.schema,Pet.Builder,11,0,0,0,4,0,2,0,2,0
openapi-codegen-maven-example-pet-store,pet.store.schema,Pet,92,26,11,1,16,8,15,2,9,2
openapi-codegen-maven-example-pet-store,pet.store.schema,Pet.BuilderWithNewPet,17,0,0,0,5,0,2,0,2,0
openapi-codegen-maven-example-pet-store,pet.store.schema,NewPet.Builder,0,14,0,0,0,5,0,2,0,2
openapi-codegen-maven-example-pet-store,pet.store.schema,Pet._Deserializer,0,16,0,0,0,2,0,1,0,1
openapi-codegen-maven-example-pet-store,pet.store.schema,NewPet.BuilderWithName,7,24,0,0,2,6,1,3,1,3
openapi-codegen-maven-example-pet-store,pet.store.schema,Pet.BuilderWithPetId,16,0,0,0,4,0,2,0,2,0
openapi-codegen-maven-example-pet-store,pet.store.schema,Error,75,0,8,0,19,0,11,0,7,0
openapi-codegen-maven-example-pet-store,pet.store.schema,PetId,60,11,6,0,13,4,8,2,5,2
openapi-codegen-maven-example-pet-store,pet.store.schema,NewPet,109,29,11,1,19,9,15,3,9,3
openapi-codegen-maven-example-pet-store,pet.store.client,Client,100,79,0,0,35,25,6,5,6,5
openapi-codegen-maven-example-pet-store,pet.store.client,Client.Server,26,0,0,0,6,0,3,0,3,0
openapi-codegen-maven-example-pet-store,pet.store,Globals,6,6,0,0,3,2,2,2,2,2
openapi-codegen-maven-example-pet-store,pet.store,Application,5,3,0,0,2,1,1,1,1,1
