GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,OptionalEmptyDeserializer,12,0,0,0,6,0,5,0,5,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictOffsetDateTimeDeserializer,16,16,1,1,2,6,1,2,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictFloatDeserializer,6,21,1,3,1,7,1,3,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,JsonNullableOctetsDeserializer,17,28,4,2,6,10,5,4,2,4
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,OctetsSerializer,0,10,0,0,0,4,0,2,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,MapBuilder,36,0,0,0,11,0,4,0,4,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,Config.Builder,19,69,0,0,6,18,5,3,5,3
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,DiscriminatorHelper,77,0,8,0,15,0,7,0,3,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,OptionalOctetsDeserializer,4,12,0,0,2,4,2,3,2,3
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,AnyOfMember,27,0,0,0,8,0,5,0,5,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictDoubleDeserializer,6,21,1,3,1,7,1,3,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,OptionalMustBePresentConverter,13,0,2,0,4,0,3,0,2,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictLocalDateDeserializer,16,16,1,1,2,6,1,2,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,OptionalOctetsSerializer,0,17,0,2,0,6,0,3,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictShortDeserializer,6,14,1,1,1,5,1,2,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictBooleanDeserializer,6,19,1,3,1,7,1,3,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,AnyOfSerializer,132,129,17,15,29,24,18,8,9,1
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,OptionalMustBePresentOctetsSerializer,20,0,2,0,6,0,3,0,2,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,RuntimeUtil,30,0,0,0,9,0,3,0,3,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,Config,6,19,0,0,2,7,2,3,2,3
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,AnyOfDeserializer,220,0,20,0,44,0,16,0,6,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,PolymorphicType,21,0,0,0,2,0,1,0,1,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,OctetsDeserializer,0,8,0,0,0,3,0,2,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictIntegerDeserializer,6,14,1,1,1,5,1,2,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictStringDeserializer,6,13,1,1,1,5,1,2,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,PolymorphicDeserializer,212,0,12,0,42,0,12,0,6,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,NullEnumDeserializer,47,0,0,0,11,0,3,0,3,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,Modules,3,72,0,0,1,12,1,2,1,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,JsonNullableOctetsSerializer,5,21,1,3,1,7,1,3,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,Preconditions,277,0,4,0,81,0,43,0,41,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,PreconditionsBase,957,0,178,0,194,0,131,0,42,0
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,StrictLongDeserializer,6,14,1,1,1,5,1,2,0,2
openapi-codegen-runtime,org.davidmoten.oa3.codegen.runtime,OptionalPresentOctetsDeserializer,18,16,0,0,4,5,3,3,3,3
