GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reels,com.github.davidmoten.reels.internal.scheduler,AbstractCanScheduleDisposable,0,43,0,8,0,12,0,8,0,4
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerDoNothing,1,24,0,0,1,7,1,6,1,6
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerComputationNonSticky,0,19,0,0,0,5,0,3,0,3
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerIo.ThreadWorker,3,11,0,0,1,5,1,2,1,2
reels,com.github.davidmoten.reels.internal.scheduler,SplitResponsibilityScheduledExecutorService,125,21,12,0,20,6,21,3,15,3
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerWorker,0,33,0,0,0,9,0,6,0,6
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerIo.CachedWorkerPool,48,104,12,10,14,29,10,8,2,5
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerForkJoinPool,0,14,0,0,0,4,0,2,0,2
reels,com.github.davidmoten.reels.internal.scheduler,TestScheduler.TestWorker,0,33,0,0,0,7,0,6,0,6
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerIo,71,120,4,2,14,32,8,10,5,10
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerImmediate,9,22,0,0,4,7,2,5,2,5
reels,com.github.davidmoten.reels.internal.scheduler,NewThreadWorker,0,16,0,0,0,5,0,2,0,2
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerFromExecutor,0,52,0,0,0,13,0,7,0,7
reels,com.github.davidmoten.reels.internal.scheduler,TestScheduler,17,163,0,12,6,37,3,15,3,9
reels,com.github.davidmoten.reels.internal.scheduler,FutureTask,0,16,0,0,0,6,0,3,0,3
reels,com.github.davidmoten.reels.internal.scheduler,ExecutorWorker,0,42,0,0,0,9,0,6,0,6
reels,com.github.davidmoten.reels.internal.scheduler,ImmediateWorker,3,30,1,1,2,12,1,6,0,6
reels,com.github.davidmoten.reels.internal.scheduler,TestScheduler.ScheduledTask,0,22,0,0,0,8,0,2,0,2
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerHelper,0,5,0,0,0,1,0,1,0,1
reels,com.github.davidmoten.reels.internal.scheduler,WorkerDisposed,0,23,0,0,0,7,0,6,0,6
reels,com.github.davidmoten.reels.internal.scheduler,PrefixedThreadFactory,0,39,0,0,0,9,0,2,0,2
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerComputationSticky,5,115,1,3,3,23,2,12,1,11
reels,com.github.davidmoten.reels.internal.scheduler,SchedulerIo.EventLoopWorker,15,65,0,2,3,17,1,6,1,5
reels,com.github.davidmoten.reels.internal.supervisor,SupervisorDefault,0,35,0,0,0,7,0,2,0,2
reels,com.github.davidmoten.reels.internal,RootActorRefImpl,0,26,0,0,0,7,0,3,0,3
reels,com.github.davidmoten.reels.internal,ActorRefNone,0,45,0,0,0,16,0,14,0,14
reels,com.github.davidmoten.reels.internal,CompositeException.ExceptionOverview,0,6,0,0,0,3,0,2,0,2
reels,com.github.davidmoten.reels.internal,SimpleDisposable,0,10,0,0,0,4,0,3,0,3
reels,com.github.davidmoten.reels.internal,CompositeException.PrintStreamOrWriter,0,3,0,0,0,1,0,1,0,1
reels,com.github.davidmoten.reels.internal,Terminated,2,14,0,0,1,2,1,1,1,1
reels,com.github.davidmoten.reels.internal,CompositeException.WrappedPrintWriter,0,12,0,0,0,5,0,2,0,2
reels,com.github.davidmoten.reels.internal,Preconditions,0,24,0,4,0,6,0,4,0,2
reels,com.github.davidmoten.reels.internal,ActorRefSynchronizedDrain,0,34,0,4,0,11,0,4,0,2
reels,com.github.davidmoten.reels.internal,OnDispose,0,18,0,2,0,7,0,4,0,3
reels,com.github.davidmoten.reels.internal,ActorRefUnsynchronizedDrain,0,22,0,2,0,7,0,3,0,2
reels,com.github.davidmoten.reels.internal,DeadLetterActor,0,15,0,0,0,4,0,3,0,3
reels,com.github.davidmoten.reels.internal,Constants,0,10,0,0,0,2,0,1,0,1
reels,com.github.davidmoten.reels.internal,Exceptions,0,36,0,10,0,12,0,7,0,2
reels,com.github.davidmoten.reels.internal,CompositeDisposable,6,390,2,54,2,106,2,38,0,12
reels,com.github.davidmoten.reels.internal,ActorRefCompletableFuture,0,37,0,0,0,15,0,13,0,13
reels,com.github.davidmoten.reels.internal,Disposed,0,17,0,0,0,4,0,3,0,3
reels,com.github.davidmoten.reels.internal,CompositeException.WrappedPrintStream,0,12,0,0,0,5,0,2,0,2
reels,com.github.davidmoten.reels.internal,CompositeException,0,473,0,48,0,93,0,35,0,11
reels,com.github.davidmoten.reels.internal,ActorRefImpl,32,559,16,70,11,144,17,60,2,32
