GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rtree2,com.github.davidmoten.rtree2.geometry,Group,0,16,0,0,0,6,0,3,0,3
rtree2,com.github.davidmoten.rtree2.geometry,Intersects,0,77,0,0,0,19,0,1,0,1
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},5,3,0,0,1,1,1,1,1,1
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},6,3,0,0,1,1,1,1,1,1
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},5,3,0,0,1,1,1,1,1,1
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},41,3,8,0,9,1,5,1,1,1
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},5,3,0,0,1,1,1,1,1,1
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},30,17,5,3,5,5,4,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},30,17,5,3,5,5,4,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,7,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,8,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,7,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,8,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,7,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,7,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,7,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,8,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Geometries,16,151,2,8,3,31,3,18,1,15
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,8,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,ListPair,0,61,0,2,0,12,0,6,0,5
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,7,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,8,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry,Intersects.new BiPredicate() {...},0,7,0,0,0,2,0,2,0,2
rtree2,com.github.davidmoten.rtree2.geometry.internal,RectangleFloat,26,352,1,27,2,41,1,32,0,19
rtree2,com.github.davidmoten.rtree2.geometry.internal,LineDouble,258,86,22,0,33,16,18,9,7,9
rtree2,com.github.davidmoten.rtree2.geometry.internal,GeometryUtil,0,283,0,54,0,46,0,37,0,10
rtree2,com.github.davidmoten.rtree2.geometry.internal,PointDouble,75,135,9,13,18,24,14,18,7,14
rtree2,com.github.davidmoten.rtree2.geometry.internal,CircleFloat,6,191,0,14,2,23,2,20,2,13
rtree2,com.github.davidmoten.rtree2.geometry.internal,LineFloat,75,269,10,12,7,42,8,19,3,13
rtree2,com.github.davidmoten.rtree2.geometry.internal,PointFloat,67,239,8,20,11,43,11,26,3,20
rtree2,com.github.davidmoten.rtree2.geometry.internal,Vector,0,65,0,0,0,10,0,7,0,7
