GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers.StringHolder,46,23,1,1,1,1,5,2,4,2
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers.JavaIOHolder.new DataSerializer() {...},266,226,4,2,4,18,7,5,4,5
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers.StringHolder.new DataSerializer() {...},75,54,1,1,1,4,5,5,4,5
rxjava-extras,com.github.davidmoten.rx.buffertofile,Options,315,336,6,6,3,23,11,16,6,15
rxjava-extras,com.github.davidmoten.rx.buffertofile,CacheType,174,0,2,0,2,0,9,0,8,0
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers,89,46,0,2,3,3,5,6,5,5
rxjava-extras,com.github.davidmoten.rx.buffertofile,Options.FileFactoryHolder,52,23,0,2,1,1,4,3,4,2
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers.ByteArrayHolder.new DataSerializer() {...},193,0,2,0,9,0,10,0,9,0
rxjava-extras,com.github.davidmoten.rx.buffertofile,Options.Builder,219,184,1,1,6,15,7,8,6,8
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers.ByteArrayHolder,69,0,2,0,2,0,7,0,6,0
rxjava-extras,com.github.davidmoten.rx.buffertofile,Options.new Object() {...},27,0,2,0,0,0,5,0,4,0
rxjava-extras,com.github.davidmoten.rx.buffertofile,Options.FileFactoryHolder.new Func0() {...},72,35,1,1,2,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers.IntegerHolder,46,23,1,1,1,1,5,2,4,2
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers.JavaIOHolder,46,23,1,1,1,1,5,2,4,2
rxjava-extras,com.github.davidmoten.rx.buffertofile,DataSerializers.IntegerHolder.new DataSerializer() {...},75,56,1,1,1,4,5,5,4,5
rxjava-extras,com.github.davidmoten.util,Optional.NotPresentException,28,22,1,1,0,1,4,3,3,3
rxjava-extras,com.github.davidmoten.util,Optional,156,300,0,10,0,19,3,15,3,10
rxjava-extras,com.github.davidmoten.util,Preconditions,98,135,0,6,1,8,4,8,4,5
rxjava-extras,com.github.davidmoten.util,ByteArrayOutputStreamNoCopyUnsynchronized,1033,0,22,0,42,0,32,0,21,0
rxjava-extras,com.github.davidmoten.rx.util,BackpressureStrategy,93,87,1,1,0,4,6,3,5,3
rxjava-extras,com.github.davidmoten.rx.util,Pair,222,89,0,2,9,7,6,7,6,6
rxjava-extras,com.github.davidmoten.rx.util,MapWithIndex.Holder,46,23,1,1,1,1,5,2,4,2
rxjava-extras,com.github.davidmoten.rx.util,MapWithIndex.NaturalNumbers.new Iterator() {...},72,64,1,1,1,4,5,5,4,5
rxjava-extras,com.github.davidmoten.rx.util,MapWithIndex.NaturalNumbers.Holder,46,24,1,1,1,1,5,2,4,2
rxjava-extras,com.github.davidmoten.rx.util,MapWithIndex.NaturalNumbers,46,48,0,2,0,3,3,6,3,5
rxjava-extras,com.github.davidmoten.rx.util,MapWithIndex,46,51,0,2,0,3,3,6,3,5
rxjava-extras,com.github.davidmoten.rx.util,BackpressureUtils,311,88,6,4,11,5,9,4,5,3
rxjava-extras,com.github.davidmoten.rx.util,ZippedEntry,226,151,1,1,7,13,11,5,10,5
rxjava-extras,com.github.davidmoten.rx.util,MapWithIndex.new Func2() {...},40,41,1,1,0,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx.util,MapWithIndex.Indexed,86,73,1,1,1,6,5,5,4,5
rxjava-extras,com.github.davidmoten.rx.observables,CachedObservable,64,84,1,1,0,7,4,5,3,5
rxjava-extras,com.github.davidmoten.rx.exceptions,TooManySubscribersException,28,22,1,1,0,1,4,3,3,3
rxjava-extras,com.github.davidmoten.rx.exceptions,IORuntimeException,34,30,1,1,0,2,4,3,3,3
rxjava-extras,com.github.davidmoten.rx,Serialized.KryoBuilder,140,197,0,2,1,14,4,9,4,8
rxjava-extras,com.github.davidmoten.rx,Bytes.BosCollectorHolder,46,23,1,1,1,1,5,2,4,2
rxjava-extras,com.github.davidmoten.rx,Serialized.new Action1() {...},84,54,1,1,2,4,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Serialized.new Func0() {...},104,56,1,1,4,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Maths.4.new Func1() {...},46,62,1,1,0,3,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Serialized.new Func1() {...},40,39,1,1,0,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Serialized.new Action1() {...},84,49,1,1,2,4,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Serialized.new SyncOnSubscribe() {...},162,102,1,1,4,8,4,5,3,5
rxjava-extras,com.github.davidmoten.rx,Serialized.new Func0() {...},104,51,1,1,4,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Serialized.new Func1() {...},40,34,1,1,0,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Serialized.new Action1() {...},84,49,1,1,2,4,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,ResourceManager.CloserHolder.new Action1() {...},130,0,2,0,6,0,8,0,7,0
rxjava-extras,com.github.davidmoten.rx,Bytes.ZipHolder.new Action1() {...},84,49,1,1,2,4,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Bytes.ZipHolder.new Func1() {...},40,34,1,1,0,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Statistics,310,184,0,2,12,13,5,10,5,9
rxjava-extras,com.github.davidmoten.rx,Actions.PrintlnHolder.new Action1() {...},82,0,2,0,3,0,8,0,7,0
rxjava-extras,com.github.davidmoten.rx,Obs.new Action0() {...},40,48,1,1,0,3,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Obs.new Action0() {...},40,65,1,1,0,3,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Obs.new Func1() {...},69,109,1,3,0,5,4,5,3,4
rxjava-extras,com.github.davidmoten.rx,Obs.new Func2() {...},58,85,1,1,0,5,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,StateMachine.CompletionAlwaysTrueHolder.new StateMachine.Completion() {...},40,34,1,1,0,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Obs.new Func0() {...},58,78,1,1,0,4,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Bytes.new Observable.Transformer() {...},52,52,1,1,0,3,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Bytes.new SyncOnSubscribe() {...},123,128,1,3,2,9,4,6,3,5
rxjava-extras,com.github.davidmoten.rx,Bytes.new Func0() {...},72,43,1,1,2,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Actions.new Action1() {...},94,0,2,0,3,0,8,0,7,0
rxjava-extras,com.github.davidmoten.rx,Transformers.HolderEquals,52,35,0,2,1,2,4,4,4,3
rxjava-extras,com.github.davidmoten.rx,Bytes.new Func1() {...},40,39,1,1,0,2,4,4,3,4
rxjava-extras,com.github.davidmoten.rx,Strings,429,344,0,2,12,25,11,18,11,17
rxjava-extras,com.github.davidmoten.rx,Obs.new Action0() {...},137,151,4,4,2,9,7,4,3,4
