GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rxjava2-aws,com.github.davidmoten.rx2.aws,SqsMessage.Client,0,24,0,0,0,2,0,1,0,1
rxjava2-aws,com.github.davidmoten.rx2.aws,AwsClients,0,26,0,0,0,10,0,2,0,2
rxjava2-aws,com.github.davidmoten.rx2.aws,Sqs.SqsBuilder,0,121,0,0,0,29,0,15,0,15
rxjava2-aws,com.github.davidmoten.rx2.aws,SqsQueue,0,118,0,16,0,20,0,15,0,7
rxjava2-aws,com.github.davidmoten.rx2.aws,Sqs.ViaS3Builder,0,15,0,0,0,5,0,2,0,2
rxjava2-aws,com.github.davidmoten.rx2.aws,SqsMessage,0,163,0,8,0,33,0,15,0,11
rxjava2-aws,com.github.davidmoten.rx2.aws,Util,0,22,0,0,0,13,0,3,0,3
rxjava2-aws,com.github.davidmoten.rx2.aws,Sqs.State,0,6,0,0,0,3,0,1,0,1
rxjava2-aws,com.github.davidmoten.rx2.aws,SqsMessage.Service,0,39,0,0,0,14,0,1,0,1
rxjava2-aws,com.github.davidmoten.rx2.aws,Sqs,0,517,0,10,0,96,0,40,0,35
rxjava2-aws,com.github.davidmoten.rx2.aws,Sqs.ContinuousLongPollingSyncOnSubscribe,0,96,0,4,0,24,0,6,0,4
rxjava2-aws,com.github.davidmoten.rx2.aws,Sqs.BuilderWithOwnerAccountId,0,14,0,0,0,4,0,2,0,2
