GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rxjava2-extras,com.github.davidmoten.rx2.util,ZippedEntry,142,235,1,1,0,20,4,12,3,12
rxjava2-extras,com.github.davidmoten.rx2.util,Pair,867,89,22,2,32,7,19,7,8,6
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.BuilderFlowable,124,209,1,1,0,17,4,11,3,11
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.new Object() {...},27,0,2,0,0,0,5,0,4,0
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options,121,165,1,3,0,13,4,9,3,8
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Serializers.WrappedDataSerializer,123,206,1,3,0,16,4,6,3,5
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Serializers,70,112,0,2,0,8,3,9,3,8
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.BuilderFlowable.new FlowableTransformer() {...},34,50,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,SerializerString,64,69,1,1,0,5,4,5,3,5
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.BuilderObservable.new Function() {...},40,50,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.FileFactoryHolder.new Callable() {...},72,35,1,1,2,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.FileFactoryHolder,52,23,0,2,1,1,4,3,4,2
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.BuilderObservable,172,161,1,1,4,13,7,8,6,8
rxjava2-extras,com.github.davidmoten.rx2,BiFunctions.ThrowingHolder,46,23,1,1,1,1,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,Strings.SplitLinesHolder.new Function() {...},40,34,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.SplitLinesHolder.new Predicate() {...},45,58,1,3,0,2,4,5,3,4
rxjava2-extras,com.github.davidmoten.rx2,Predicates.new Predicate() {...},34,33,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Functions,52,70,0,2,0,5,3,7,3,6
rxjava2-extras,com.github.davidmoten.rx2,Predicates.new Predicate() {...},34,33,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Bytes.BosCollectorHolder.new BiConsumer() {...},46,42,1,1,0,3,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,FlowableTransformers.6.new BiFunction() {...},40,47,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Callables,40,44,0,2,0,3,3,5,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.SplitLinesHolder,52,34,1,1,1,2,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,SchedulerHelper.new Runnable() {...},46,58,1,1,0,4,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new FlowableTransformer() {...},34,41,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new FlowableTransformer() {...},34,34,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen.new Function() {...},69,101,1,3,0,5,4,5,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new Function() {...},40,39,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen.new BiFunction() {...},40,38,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Bytes.BosCreatorHolder.new Callable() {...},40,35,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen.new Function() {...},159,291,2,12,1,13,5,9,3,4
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen.new Consumer() {...},57,78,1,3,0,4,4,5,3,4
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen.Builder.ToLongHolder,69,0,2,0,2,0,7,0,6,0
rxjava2-extras,com.github.davidmoten.rx2,Bytes.ZipHolder,52,34,1,1,1,2,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen.new Function() {...},82,113,1,1,0,7,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,FlowableTransformers,121,178,0,2,1,12,4,14,4,13
rxjava2-extras,com.github.davidmoten.rx2,Bytes.BosCreatorHolder,46,23,1,1,1,1,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen.Builder.ToLongHolder.new Function() {...},130,0,4,0,4,0,9,0,7,0
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen,324,171,0,2,9,11,12,11,12,10
rxjava2-extras,com.github.davidmoten.rx2,RetryWhen.Builder,283,420,0,4,3,32,5,16,5,14
rxjava2-extras,com.github.davidmoten.rx2,Strings,340,706,0,2,0,51,3,38,3,37
rxjava2-extras,com.github.davidmoten.rx2,Strings.DisposeActionHolder.new Consumer() {...},46,41,1,1,0,3,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.7.new BiConsumer() {...},69,105,1,3,0,6,4,5,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.7.new Callable() {...},40,38,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Predicates,46,57,0,2,0,4,3,6,3,5
rxjava2-extras,com.github.davidmoten.rx2,Strings.7.new Function() {...},75,61,2,2,1,3,5,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,StateMachine.new Object() {...},27,0,2,0,0,0,5,0,4,0
rxjava2-extras,com.github.davidmoten.rx2,Bytes.InputStreamCloseHolder,46,23,1,1,1,1,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,Bytes.ZipHolder.new Function() {...},40,34,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Bytes.ZipHolder.new Consumer() {...},46,41,1,1,0,3,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Callables.new Callable() {...},34,37,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Bytes.BosToArrayHolder.new Function() {...},40,34,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Consumers.CloseHolder,46,23,1,1,1,1,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,Bytes.BosToArrayHolder,46,23,1,1,1,1,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,Functions.IdentityHolder,46,23,1,1,1,1,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,Flowables,77,81,0,2,2,4,4,7,4,6
rxjava2-extras,com.github.davidmoten.rx2,Actions.DoNothingHolder.new Action() {...},34,32,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.DisposeActionHolder,46,23,1,1,1,1,5,2,4,2
rxjava2-extras,com.github.davidmoten.rx2,Functions.IdentityHolder.new Function() {...},34,33,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Consumers.CloseHolder.new Consumer() {...},46,41,1,1,0,3,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new Callable() {...},40,48,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new Function() {...},40,34,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new Function() {...},40,34,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new Callable() {...},40,51,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,FlowableTransformers.new FlowableTransformer() {...},34,34,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,FlowableTransformers.new FlowableTransformer() {...},34,41,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,FlowableTransformers.new FlowableTransformer() {...},34,54,1,1,0,2,4,4,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new Consumer() {...},75,117,1,3,0,7,4,5,3,4
rxjava2-extras,com.github.davidmoten.rx2,Strings.new Function() {...},57,73,1,3,0,4,4,5,3,4
