GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rxjava2-file,com.github.davidmoten.rx2.file,Files.TailLinesUsingCustomEventsBuilder,457,0,2,0,25,0,15,0,14,0
rxjava2-file,com.github.davidmoten.rx2.file,Files.State,34,22,1,1,0,1,4,3,3,3
rxjava2-file,com.github.davidmoten.rx2.file,Files.TailLinesNonBlockingBuilder,372,256,1,1,13,22,10,7,9,7
rxjava2-file,com.github.davidmoten.rx2.file,Files.TailLinesBlockingBuilder,339,136,1,1,15,11,11,4,10,4
rxjava2-file,com.github.davidmoten.rx2.file,Files.new Predicate() {...},188,183,5,5,3,11,8,4,3,4
rxjava2-file,com.github.davidmoten.rx2.file,Files.WatchEventsBuilder,68,55,1,1,1,4,5,4,4,4
rxjava2-file,com.github.davidmoten.rx2.file,Files.TailBytesUsingCustomEventsBuilder,390,0,2,0,21,0,13,0,12,0
rxjava2-file,com.github.davidmoten.rx2.file,Files.WatchEventsBlockingBuilder,564,0,6,0,26,0,16,0,13,0
rxjava2-file,com.github.davidmoten.rx2.file,Files.TailLinesBuilder,89,69,1,1,2,5,5,5,4,5
rxjava2-file,com.github.davidmoten.rx2.file,Files.TailBytesBuilder,143,0,2,0,6,0,10,0,9,0
rxjava2-file,com.github.davidmoten.rx2.file,Files.TailBytesNonBlockingBuilder,512,0,2,0,28,0,14,0,13,0
rxjava2-file,com.github.davidmoten.rx2.file,Files.WatchEventsNonBlockingBuilder,421,319,3,3,11,25,9,9,7,8
rxjava2-file,com.github.davidmoten.rx2.file,Files,1242,1166,14,18,28,69,22,37,12,31
rxjava2-file,com.github.davidmoten.rx2.file,Files.TailBytesBlockingBuilder,423,0,2,0,23,0,13,0,12,0
