GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rxjava2-http,org.davidmoten.rx2.io.internal,FlowableFromInputStream.FromStreamSubscription,1298,1924,17,43,14,134,20,26,3,13
rxjava2-http,org.davidmoten.rx2.io.internal,HttpMethod,99,94,1,1,0,6,6,4,5,4
rxjava2-http,org.davidmoten.rx2.io.internal,AfterOnNextFactory.1.new AfterOnNext() {...},155,200,5,7,1,11,7,6,3,4
rxjava2-http,org.davidmoten.rx2.io.internal,AfterOnNextFactory,0,11,0,0,0,2,0,2,0,2
rxjava2-http,org.davidmoten.rx2.io.internal,Util,371,859,0,12,1,51,4,17,4,11
rxjava2-http,org.davidmoten.rx2.io.internal,Util.new BiConsumer() {...},67,22,1,1,2,1,5,3,4,3
rxjava2-http,org.davidmoten.rx2.io.internal,FlowableSingleFlatMapPublisher,64,84,1,1,0,7,4,4,3,4
rxjava2-http,org.davidmoten.rx2.io.internal,Server,118,181,0,2,0,15,3,6,3,5
rxjava2-http,org.davidmoten.rx2.io.internal,ByteBufferInputStream,121,221,1,7,0,14,4,9,3,6
rxjava2-http,org.davidmoten.rx2.io.internal,Server.HandlerSubscriber,848,1495,3,25,1,121,6,27,3,16
rxjava2-http,org.davidmoten.rx2.io.internal,FlowableSingleFlatMapPublisher.SingleFlatMapPublisherObserver,190,298,1,1,0,28,4,11,3,11
rxjava2-http,org.davidmoten.rx2.io.internal,NoCopyByteArrayOutputStream,46,58,1,1,0,4,4,5,3,5
rxjava2-http,org.davidmoten.rx2.io.internal,AfterOnNextFactory.new AfterOnNextFactory() {...},34,42,1,1,0,2,4,4,3,4
rxjava2-http,org.davidmoten.rx2.io.internal,FlowableFromInputStream.IdRequested,46,49,1,1,0,4,4,3,3,3
rxjava2-http,org.davidmoten.rx2.io.internal,ServletHandler,548,1051,3,21,0,74,6,25,3,16
rxjava2-http,org.davidmoten.rx2.io.internal,DefaultSerializer,341,304,12,6,0,18,11,8,3,7
rxjava2-http,org.davidmoten.rx2.io.internal,FlowableFromInputStream,180,279,1,7,1,20,4,8,3,5
rxjava2-http,org.davidmoten.rx2.io,Client,331,496,2,6,3,36,5,18,3,16
rxjava2-http,org.davidmoten.rx2.io,Serializer,0,2,0,0,0,1,0,1,0,1
rxjava2-http,org.davidmoten.rx2.io,Client.Options,82,109,1,1,0,10,4,3,3,3
rxjava2-http,org.davidmoten.rx2.io,Client.Builder,5,191,0,6,2,42,1,16,1,13
rxjava2-http,org.davidmoten.rx2.io,Client.Requester,157,187,2,2,1,15,5,5,3,5
rxjava2-http,org.davidmoten.rx2.http,Response.Builder,8,64,0,0,3,20,1,8,1,8
rxjava2-http,org.davidmoten.rx2.http,Writer.new Writer() {...},108,111,1,1,2,9,5,7,4,7
rxjava2-http,org.davidmoten.rx2.http,WriterFactory,0,5,0,0,0,1,0,1,0,1
rxjava2-http,org.davidmoten.rx2.http,Response,148,226,0,2,0,20,3,11,3,10
rxjava2-http,org.davidmoten.rx2.http,Writer,17,12,2,0,4,3,2,2,1,2
rxjava2-http,org.davidmoten.rx2.http,FlowableHttpServlet,88,131,1,1,0,10,4,8,3,8
rxjava2-http,org.davidmoten.rx2.http,WriterFactory.new WriterFactory() {...},0,6,0,0,0,2,0,2,0,2
