GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rxjava2-jdbc,org.davidmoten.rx.jdbc.pool.internal,ConnectionProviderBlockingPool,4,16,0,0,2,4,1,3,1,3
rxjava2-jdbc,org.davidmoten.rx.jdbc.pool.internal,ConnectionProviderBlockingPool.MemberWithValueConnection,15,44,0,2,7,13,1,5,1,4
rxjava2-jdbc,org.davidmoten.rx.jdbc.pool.internal,SerializedConnectionListener,6,44,2,4,4,15,2,4,0,3
rxjava2-jdbc,org.davidmoten.rx.jdbc.pool.internal,PooledConnection,44,66,0,0,7,15,4,8,4,8
rxjava2-jdbc,org.davidmoten.rx.jdbc.pool.internal,HealthCheckPredicate,17,6,0,0,5,3,1,1,1,1
rxjava2-jdbc,org.davidmoten.rx.jdbc,SqlInfo,19,288,10,36,5,67,9,25,0,11
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableResultSets4Builder,62,56,0,0,11,9,7,3,7,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,CallableBuilder.CallableResultSetsNBuilder,14,52,0,0,4,12,2,6,2,6
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedUpdateBuilder.TransactedUpdateBuilderValuesOnly,0,18,0,0,0,6,0,2,0,2
rxjava2-jdbc,org.davidmoten.rx.jdbc,Tx,18,41,2,6,4,9,6,5,4,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,Util,349,1314,83,197,68,325,63,129,1,51
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedSelectAutomappedBuilder.TransactedSelectAutomappedBuilderValuesOnly,0,23,0,0,0,7,0,3,0,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedSelectBuilder,41,114,0,4,10,27,5,14,5,12
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedSelectAutomappedBuilder,58,89,1,3,13,21,8,9,7,8
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedUpdateBuilder,40,164,2,2,11,40,8,19,6,19
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder,1,224,2,6,0,44,2,24,0,22
rxjava2-jdbc,org.davidmoten.rx.jdbc,ResultSetAutoClosesStatement,16,24,2,2,6,12,2,2,0,2
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableResultSets1Builder,16,63,0,0,4,13,2,8,2,8
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableResultSets3Builder,22,71,0,0,6,12,3,7,3,7
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedBuilder,14,38,0,0,2,8,1,3,1,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,Util.ProxyService,0,207,0,14,0,37,0,11,0,4
rxjava2-jdbc,org.davidmoten.rx.jdbc,CallableBuilder.CallableResultSets1Builder,16,60,0,0,4,13,2,7,2,7
rxjava2-jdbc,org.davidmoten.rx.jdbc,CallableBuilder.CallableResultSets2Builder,16,67,0,0,4,14,2,7,2,7
rxjava2-jdbc,org.davidmoten.rx.jdbc,CallableBuilder.CallableBuilder4,93,57,0,0,12,9,7,2,7,2
rxjava2-jdbc,org.davidmoten.rx.jdbc,CallableBuilder.CallableBuilder3,37,68,0,0,6,14,4,5,4,5
rxjava2-jdbc,org.davidmoten.rx.jdbc,CallableBuilder.CallableBuilder2,6,90,0,0,2,16,1,8,1,8
rxjava2-jdbc,org.davidmoten.rx.jdbc,Sql,12,55,0,4,4,12,0,5,0,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,CallableBuilder.CallableBuilder1,18,69,0,0,4,13,3,6,3,6
rxjava2-jdbc,org.davidmoten.rx.jdbc,Database.new ConnectionProvider() {...},24,35,3,1,7,8,3,2,1,2
rxjava2-jdbc,org.davidmoten.rx.jdbc,TxImpl,28,106,4,8,5,26,6,11,2,9
rxjava2-jdbc,org.davidmoten.rx.jdbc,SelectBuilder,12,93,3,5,3,24,3,8,1,6
rxjava2-jdbc,org.davidmoten.rx.jdbc,ParametersBuilder,12,222,4,20,2,47,5,21,1,13
rxjava2-jdbc,org.davidmoten.rx.jdbc,ConnectionProvider.new ConnectionProvider() {...},17,0,0,0,5,0,3,0,3,0
rxjava2-jdbc,org.davidmoten.rx.jdbc,ConnectionProvider.new ConnectionProvider() {...},27,0,0,0,5,0,3,0,3,0
rxjava2-jdbc,org.davidmoten.rx.jdbc,ConnectionProvider.new ConnectionProvider() {...},22,0,0,0,5,0,3,0,3,0
rxjava2-jdbc,org.davidmoten.rx.jdbc,Call.PlaceAndType,0,9,0,0,0,4,0,1,0,1
rxjava2-jdbc,org.davidmoten.rx.jdbc,NamedPreparedStatement,0,9,0,0,0,4,0,1,0,1
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableResultSets2Builder,16,70,0,0,4,14,2,8,2,8
rxjava2-jdbc,org.davidmoten.rx.jdbc,GetterTx,0,111,0,0,0,16,0,15,0,15
rxjava2-jdbc,org.davidmoten.rx.jdbc,Util.ProxyInstance,23,154,6,22,7,33,6,11,0,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,DependsOn,0,28,0,0,0,6,0,3,0,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,Getter,0,111,0,0,0,16,0,15,0,15
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableResultSetsNBuilder,14,55,0,0,4,12,2,7,2,7
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableBuilderN,18,58,0,0,4,11,3,6,3,6
rxjava2-jdbc,org.davidmoten.rx.jdbc,Parameter.ParameterListBuilder,0,29,0,0,0,8,0,4,0,4
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableBuilder4,96,57,0,0,10,9,8,2,8,2
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableBuilder3,37,71,0,0,6,12,4,6,4,6
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableBuilder2,6,93,0,0,2,16,1,9,1,9
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedCallableBuilder.CallableBuilder1,18,72,0,0,4,13,3,7,3,7
rxjava2-jdbc,org.davidmoten.rx.jdbc,Util.NamedCol,0,12,0,0,0,5,0,2,0,2
rxjava2-jdbc,org.davidmoten.rx.jdbc,Update,21,394,4,16,4,83,5,40,3,32
rxjava2-jdbc,org.davidmoten.rx.jdbc,Util.new InputStream() {...},5,21,0,0,2,6,0,3,0,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,TransactedReturnGeneratedKeysBuilder,0,74,0,2,0,17,0,8,0,7
rxjava2-jdbc,org.davidmoten.rx.jdbc,Util.new Reader() {...},5,24,0,0,2,6,0,3,0,3
rxjava2-jdbc,org.davidmoten.rx.jdbc,Util.new ResultSetMapper() {...},0,28,0,2,0,5,0,3,0,2
