GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sparse-hilbert-index,com.github.davidmoten.shi,Index.Counts,0,32,0,0,0,9,0,3,0,3
sparse-hilbert-index,com.github.davidmoten.shi,CountingInputStream,0,78,0,6,0,24,0,9,0,6
sparse-hilbert-index,com.github.davidmoten.shi,Index.SearchBuilderWithStats,0,99,0,2,0,21,0,12,0,11
sparse-hilbert-index,com.github.davidmoten.shi,Util,0,8,0,0,0,1,0,1,0,1
sparse-hilbert-index,com.github.davidmoten.shi,WithStats,0,183,0,2,0,41,0,13,0,12
sparse-hilbert-index,com.github.davidmoten.shi,LimitingInputStream,0,80,0,10,0,21,0,8,0,3
sparse-hilbert-index,com.github.davidmoten.shi,PositionRange,0,70,0,2,0,13,0,7,0,6
sparse-hilbert-index,com.github.davidmoten.shi,CountingOutputStream,0,21,0,0,0,6,0,4,0,4
sparse-hilbert-index,com.github.davidmoten.shi,Index,0,1415,0,72,0,270,0,104,0,68
sparse-hilbert-index,com.github.davidmoten.shi,Index.SearchBuilderAdvanced,0,80,0,0,0,15,0,10,0,10
sparse-hilbert-index,com.github.davidmoten.shi,Index.Builder2,0,80,0,0,0,16,0,6,0,6
sparse-hilbert-index,com.github.davidmoten.shi,Index.Builder3,0,23,0,0,0,6,0,3,0,3
sparse-hilbert-index,com.github.davidmoten.shi,Index.Builder1,0,23,0,0,0,8,0,2,0,2
sparse-hilbert-index,com.github.davidmoten.shi,ClosingInputStream,0,34,0,0,0,12,0,4,0,4
sparse-hilbert-index,com.github.davidmoten.shi,Index.Builder6,0,71,0,0,0,14,0,7,0,7
sparse-hilbert-index,com.github.davidmoten.shi,Index.Builder4,0,16,0,0,0,5,0,2,0,2
sparse-hilbert-index,com.github.davidmoten.shi,Index.Builder5,0,16,0,0,0,5,0,2,0,2
sparse-hilbert-index,com.github.davidmoten.shi,Index.Builder,0,8,0,0,0,3,0,2,0,2
sparse-hilbert-index,com.github.davidmoten.shi,Index.SearchBuilder,0,111,0,4,0,24,0,15,0,13
sparse-hilbert-index,com.github.davidmoten.shi,Bounds,0,133,0,14,0,20,0,13,0,6
sparse-hilbert-index,com.github.davidmoten.shi,Index.SearchBuilderWithStatsAdvanced,0,72,0,0,0,15,0,9,0,9
