GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
word-wrap,org.davidmoten.text.utils,CharSequenceReader,0,195,0,24,0,44,0,25,0,13
word-wrap,org.davidmoten.text.utils,StringBuilder2,0,191,0,8,0,44,0,20,0,16
word-wrap,org.davidmoten.text.utils,WordWrap,10,521,4,82,3,126,3,64,0,24
word-wrap,org.davidmoten.text.utils,WordWrap.Builder.new LineConsumer() {...},0,45,0,0,0,8,0,3,0,3
word-wrap,org.davidmoten.text.utils,CharSequenceConcatRightTrim,0,81,0,8,0,17,0,9,0,5
word-wrap,org.davidmoten.text.utils,WordWrap.new LineConsumer() {...},0,27,0,0,0,7,0,4,0,4
word-wrap,org.davidmoten.text.utils,LineConsumer,0,10,0,0,0,3,0,1,0,1
word-wrap,org.davidmoten.text.utils,CharSequenceConcatRightTrim.new CharSequence() {...},0,71,0,4,0,12,0,7,0,5
word-wrap,org.davidmoten.text.utils,WordWrap.Builder,0,242,0,10,0,67,0,24,0,19
word-wrap,org.davidmoten.text.utils,IORuntimeException,0,4,0,0,0,2,0,1,0,1
